date,commit,binary,size_bytes,gzip_bytes,delta_bytes,delta_gzip
2026-03-14T11:02:16Z,5784b11,target/release/mdref,1650592,654811,0,0
2026-03-16T08:49:17Z,c4c95df,target/release/mdref,1670384,665334,19792,10523
2026-03-16T09:15:02Z,5876f27,target/release/mdref,1690208,669498,19824,4164
2026-03-16T09:33:27Z,ef1652d,target/release/mdref,1689920,669488,-288,-10
2026-03-16T09:38:10Z,95fd172,target/release/mdref,2945888,877907,1255968,208419
2026-03-16T14:35:47Z,8b25b47,target/release/mdref,2964464,894514,18576,16607
2026-03-16T16:00:30Z,f14e608,target/release/mdref,3054080,921411,89616,26897
2026-03-17T16:06:21Z,429debb,target/release/mdref,3055280,924429,1200,3018
2026-03-18T16:07:28Z,18a4c2f,target/release/mdref,3054480,924250,-800,-179
2026-03-19T02:46:27Z,2bb327c,target/release/mdref,3020080,915534,-34400,-8716
2026-03-23T15:24:19Z,082f964,target/release/mdref,3020672,916158,592,624
2026-03-24T16:27:58Z,1eb1609,target/release/mdref,3020608,915526,-64,-632
2026-04-18T02:59:02Z,a16fea1,target/release/mdref,2586240,847574,-434368,-67952
2026-04-18T03:03:01Z,a16fea1,target/release/mdref,3265088,943133,678848,95559
